avg_caption_lenght,avg_comment_length,has_url_in_bio,has_profile_picture,has_highlight_reels,post_count,follower_count,following_count,engagement_page_rate,fake_followers_count,bio_length,avg_like_count,avg_comment_count,post_type,caption_length,hashtag_count,hashtag_rate,comment_count,like_count,view_count,label
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,2126,9,55.5556,58,3729,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,2042,7,57.1429,30,3298,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,416,12,50,5,1626,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,553,8,37.5,18,2842,27314,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,814,8,25,48,5476,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,458,9,33.3333,3,1425,13479,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1021,11,36.3636,526,8537,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1003,10,40,99,5995,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,558,10,40,37,1780,20328,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,1726,8,37.5,742,12863,148197,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,646,14,28.5714,595,9897,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1132,10,50,221,10593,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,427,10,30,16,3271,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,408,12,41.6667,252,18904,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,643,9,44.4444,220,8994,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,388,8,25,125,2819,35955,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,773,9,44.4444,308,9100,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1184,12,41.6667,114,7442,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,814,14,35.7143,61,4129,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,586,12,41.6667,144,5898,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,307,10,30,222,11041,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,823,12,33.3333,195,6854,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,646,12,50,98,3515,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,166,9,44.4444,43,7502,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,260,10,20,179,3983,47909,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,211,10,30,124,5304,64105,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1204,10,40,69,4399,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,668,7,42.8571,30,1899,18475,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,600,6,16.6667,1185,12195,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,332,9,11.1111,30,4629,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,610,10,10,63,4106,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,699,8,12.5,213,7429,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,343,9,22.2222,141,2667,35006,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,956,9,33.3333,335,10842,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,2119,8,25,430,19979,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,321,7,0,199,3620,45863,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,181,7,42.8571,621,30739,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,541,7,42.8571,1190,19101,255816,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,885,11,36.3636,27,4707,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,1048,11,36.3636,41,4845,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,280,13,46.1538,299,4617,54503,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1025,10,40,122,9730,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,649,12,25,45,4480,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1135,12,33.3333,2231,17897,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,648,10,20,177,7200,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,460,10,20,26,2437,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,943,13,38.4615,110,4996,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,409,7,28.5714,36,8542,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,887,9,22.2222,72,6945,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,705,10,10,79,5581,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,594,11,9.09091,59,5217,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,690,13,61.5385,4425,50756,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,1505,7,42.8571,28,5564,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,405,14,28.5714,57,5449,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,473,8,37.5,52,2947,36323,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,245,9,11.1111,505,6452,123402,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,802,14,21.4286,49,3829,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1188,9,22.2222,58,5315,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,218,8,0,166,10150,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,410,10,20,290,3994,50754,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,195,10,10,153,3289,36459,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1074,15,33.3333,463,11697,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,789,9,22.2222,731,11228,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,400,9,22.2222,6,2514,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,456,8,25,50,5472,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,802,9,0,143,6572,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,194,10,10,167,3205,43028,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,211,9,11.1111,139,6202,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,614,10,30,22,1671,15469,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,303,8,37.5,187,11951,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,747,12,25,62,4117,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1389,10,10,110,7503,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,768,10,20,131,5052,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,544,10,40,767,9643,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,519,9,11.1111,39,4094,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,600,9,44.4444,35,2088,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,657,11,18.1818,284,7178,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,842,8,37.5,28,5726,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,464,9,22.2222,35,4149,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,208,9,22.2222,110,3023,35522,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,362,11,36.3636,118,6386,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,626,10,10,105,4885,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,398,11,27.2727,35,1690,13271,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,184,9,22.2222,354,7816,102192,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,354,9,33.3333,1530,15887,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1123,9,33.3333,273,9657,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,461,8,37.5,485,15966,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,643,11,27.2727,146,4547,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,300,10,30,121,4784,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,404,10,40,368,9396,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1156,10,30,771,11185,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,755,12,25,154,5470,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1188,9,44.4444,159,8247,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1223,10,20,421,10253,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,144,8,0,634,11007,128083,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,1420,13,23.0769,173,6761,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,473,8,50,451,11303,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,725,10,50,33,3820,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,665,9,44.4444,264,9485,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,915,9,11.1111,154,8604,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,750,12,25,46,3941,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,587,11,27.2727,53,4463,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1284,12,33.3333,270,8745,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,171,9,33.3333,189,3580,38732,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,605,8,37.5,26,2176,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,466,8,37.5,251,9359,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,429,12,25,132,6985,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1335,9,0,266,9478,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1468,10,20,625,9427,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,791,14,21.4286,44,3978,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1413,10,20,171,8432,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,410,9,11.1111,33,1902,19728,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,966,10,50,258,12357,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,2088,9,22.2222,153,8361,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,668,13,30.7692,26,3860,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,656,13,30.7692,117,5715,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,335,8,12.5,57,2786,26181,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,746,13,23.0769,43,3631,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,664,10,40,149,8283,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1560,9,22.2222,415,17467,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,590,11,18.1818,51,6072,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,1617,10,20,439,7995,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,345,6,16.6667,152,5826,68751,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1408,12,33.3333,196,6817,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,722,10,10,45,3738,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,167,8,25,674,12435,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,537,12,16.6667,216,8005,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,844,8,37.5,444,9873,106306,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,433,10,40,566,5244,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,166,7,14.2857,77,2901,34904,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,599,10,50,31,2138,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,528,10,40,95,6796,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,262,10,30,65,4450,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,370,10,50,71,5115,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,411,8,50,23,4859,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1458,11,45.4545,224,8571,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,801,14,21.4286,58,3632,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1385,11,18.1818,87,3988,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1059,12,25,659,12369,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,1245,11,36.3636,110,5237,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,949,12,33.3333,236,5910,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1486,11,45.4545,105,6631,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,614,11,27.2727,126,3613,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,354,7,57.1429,66,3969,41461,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,859,10,40,28,5137,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,429,11,36.3636,103,5009,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,130,7,42.8571,57,3146,39996,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,881,9,22.2222,376,10905,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1215,11,27.2727,1117,10508,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,428,7,14.2857,117,3370,49411,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,756,12,25,72,4404,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1779,11,18.1818,0,6116,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,414,7,28.5714,54,2984,30242,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1207,9,22.2222,105,6941,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,695,9,33.3333,335,8707,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,248,8,37.5,213,10695,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,241,7,28.5714,81,7175,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,623,10,10,46,4084,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,576,13,38.4615,22,2670,28326,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,867,12,16.6667,335,8127,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1447,8,37.5,405,10109,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,467,7,28.5714,713,12727,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,605,10,50,51,3078,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1020,10,20,312,8900,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,3,443,8,50,23,6216,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,274,9,11.1111,138,6215,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,2094,8,37.5,153,10623,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,2130,6,16.6667,141,8499,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,1089,9,44.4444,122,6397,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,1,784,14,21.4286,79,4812,0,1
708,56,0,1,1,15986,723120,4,1.34,192,83,9660,284,2,469,10,40,139,4575,49566,1
